serial_number,the_date,num
iotsg-100000-00002367,06/08/1976 12:34,1
iotsg-100000-00004239,07/08/1976 12:34,2
iotsg-100000-00004230,08/08/1976 12:34,3
iotsg-100000-00004409,09/08/1976 12:34,4
iotsg-100000-00004411,10/08/1976 12:34,5
iotsg-100000-00004349,11/08/1976 12:34,6
iotsg-100000-00004329,12/08/1976 12:34,7
iotsg-100000-00004379,13/08/1976 12:34,8
iotsg-100000-00002789,14/08/1976 12:34,9
iotsg-100000-00004331,15/08/1976 12:34,10
iotsg-100000-00002901,16/08/1976 12:34,11
iotsg-100000-00004332,17/08/1976 12:34,12
iotsg-100000-00004387,18/08/1976 12:34,13
iotsg-100000-00004386,19/08/1976 12:34,14
iotsg-100000-00004421,20/08/1976 12:34,15
iotsg-100000-00004393,21/08/1976 12:34,16
iotsg-100000-00004394,22/08/1976 12:34,17
iotsg-100000-00004343,23/08/1976 12:34,18
iotsg-100000-00004212,24/08/1976 12:34,19
iotsg-100000-00002384,25/08/1976 12:34,20
iotsg-100000-00004330,26/08/1976 12:34,21
iotsg-100000-00004238,27/08/1976 12:34,22
iotsg-100000-00004420,28/08/1976 12:34,23
iotsg-100000-00004210,29/08/1976 12:34,24
iotsg-100000-00004378,30/08/1976 12:34,25
iotsg-100000-00004333,31/08/1976 12:34,26
iotsg-100000-00002394,01/09/1976 12:34,27
iotsg-100000-00002395,02/09/1976 12:34,28
iotsg-100000-00002366,03/09/1976 12:34,29
iotsg-100000-00004218,04/09/1976 12:34,30
iotsg-100000-00002387,05/09/1976 12:34,31
iotsg-100000-00004403,06/09/1976 12:34,32
iotsg-100000-00002386,07/09/1976 12:34,33
iotsg-100000-00002787,08/09/1976 12:34,34
iotsg-100000-00004334,09/09/1976 12:34,35
iotsg-100000-00004377,10/09/1976 12:34,36
iotsg-100000-00001891,11/09/1976 12:34,37
iotsg-100000-00004211,12/09/1976 12:34,38
iotsg-100000-00004327,13/09/1976 12:34,39
iotsg-100000-00004414,14/09/1976 12:34,40
iotsg-100000-00004340,15/09/1976 12:34,41
iotsg-100000-00004413,16/09/1976 12:34,42
iotsg-100000-00002397,17/09/1976 12:34,43
iotsg-100000-00004341,18/09/1976 12:34,44
iotsg-100000-00004415,19/09/1976 12:34,45
iotsg-100000-00004401,20/09/1976 12:34,46
iotsg-100000-00004336,21/09/1976 12:34,47
iotsg-100000-00002801,22/09/1976 12:34,48
iotsg-100000-00004243,23/09/1976 12:34,49
iotsg-100000-00002820,24/09/1976 12:34,50
iotsg-100000-00002393,25/09/1976 12:34,51
iotsg-100000-00004426,26/09/1976 12:34,52
iotsg-100000-00002368,27/09/1976 12:34,53
iotsg-100000-00003388,28/09/1976 12:34,54
iotsg-100000-00004270,29/09/1976 12:34,55
iotsg-100000-00004235,30/09/1976 12:34,56
iotsg-100000-00004265,01/10/1976 12:34,57
iotsg-100000-00001920,02/10/1976 12:34,58
iotsg-100000-00004291,03/10/1976 12:34,59
iotsg-100000-00002719,04/10/1976 12:34,60
iotsg-100000-00001007,05/10/1976 12:34,61
iotsg-100000-00001727,06/10/1976 12:34,62
iotsg-100000-00000977,07/10/1976 12:34,63
iotsg-100000-00000757,08/10/1976 12:34,64
iotsg-100000-00000905,09/10/1976 12:34,65
iotsg-100000-00000395,10/10/1976 12:34,66
iotsg-100000-00003212,11/10/1976 12:34,67
iotsg-100000-00004300,12/10/1976 12:34,68
iotsg-100000-00002125,13/10/1976 12:34,69
iotsg-100000-00004288,14/10/1976 12:34,70
iotsg-100000-00004203,15/10/1976 12:34,71
iotsg-100000-00002420,16/10/1976 12:34,72
iotsg-100000-00004256,17/10/1976 12:34,73
iotsg-100000-00000400,18/10/1976 12:34,74
iotsg-100000-00004255,19/10/1976 12:34,75
iotsg-100000-00002333,20/10/1976 12:34,76
iotsg-100000-00000649,21/10/1976 12:34,77
iotsg-100000-00000304,22/10/1976 12:34,78
iotsg-100000-00004202,23/10/1976 12:34,79
iotsg-100000-00000812,24/10/1976 12:34,80
iotsg-100000-00001471,25/10/1976 12:34,81
iotsg-100000-00001934,26/10/1976 12:34,82
iotsg-100000-00001728,27/10/1976 12:34,83
iotsg-100000-00001826,28/10/1976 12:34,84
iotsg-100000-00000767,29/10/1976 12:34,85
iotsg-100000-00000974,30/10/1976 12:34,86
iotsg-100000-00000758,31/10/1976 12:34,87
iotsg-100000-00000922,01/11/1976 12:34,88
iotsg-100000-00004199,02/11/1976 12:34,89
iotsg-100000-00002912,03/11/1976 12:34,90
iotsg-100000-00000856,04/11/1976 12:34,91
iotsg-100000-00001922,05/11/1976 12:34,92
iotsg-100000-00001933,06/11/1976 12:34,93
iotsg-200000-00000141,07/11/1976 12:34,94
iotsg-100000-00000895,08/11/1976 12:34,95
iotsg-100000-00001940,09/11/1976 12:34,96
iotsg-100000-00001687,10/11/1976 12:34,97
iotsg-100000-00001300,11/11/1976 12:34,98
iotsg-100000-00000324,12/11/1976 12:34,99
iotsg-100000-00000938,13/11/1976 12:34,100
iotsg-100000-00002990,14/11/1976 12:34,101
iotsg-100000-00001918,15/11/1976 12:34,102
iotsg-100000-00003125,16/11/1976 12:34,103
iotsg-100000-00001732,17/11/1976 12:34,104
iotsg-100000-00000933,18/11/1976 12:34,105
iotsg-100000-00000377,19/11/1976 12:34,106
iotsg-100000-00001565,20/11/1976 12:34,107
iotsg-100000-00000769,21/11/1976 12:34,108
iotsg-100000-00000620,22/11/1976 12:34,109
iotsg-100000-00004240,23/11/1976 12:34,110
iotsg-100000-00004328,24/11/1976 12:34,111
iotsg-100000-00004322,25/11/1976 12:34,112
iotsg-100000-00002913,26/11/1976 12:34,113
iotsg-100000-00004416,27/11/1976 12:34,114
iotsg-100000-00004352,28/11/1976 12:34,115
iotsg-100000-00004392,29/11/1976 12:34,116
iotsg-100000-00002396,30/11/1976 12:34,117
iotsg-100000-00004376,01/12/1976 12:34,118
iotsg-100000-00004348,02/12/1976 12:34,119
iotsg-100000-00004321,03/12/1976 12:34,120
iotsg-100000-00004418,04/12/1976 12:34,121
iotsg-100000-00004404,05/12/1976 12:34,122
iotsg-100000-00004339,06/12/1976 12:34,123
iotsg-100000-00004417,07/12/1976 12:34,124
iotsg-100000-00004017,08/12/1976 12:34,125
iotsg-100000-00003215,09/12/1976 12:34,126
iotsg-100000-00004391,10/12/1976 12:34,127
iotsg-100000-00004390,11/12/1976 12:34,128
iotsg-100000-00004246,12/12/1976 12:34,129
iotsg-100000-00004290,13/12/1976 12:34,130
iotsg-100000-00004353,14/12/1976 12:34,131
iotsg-100000-00004209,15/12/1976 12:34,132
iotsg-100000-00004400,16/12/1976 12:34,133
iotsg-100000-00004205,17/12/1976 12:34,134
iotsg-100000-00004398,18/12/1976 12:34,135
iotsg-100000-00004419,19/12/1976 12:34,136
iotsg-100000-00003379,20/12/1976 12:34,137
iotsg-100000-00004344,21/12/1976 12:34,138
iotsg-100000-00004380,22/12/1976 12:34,139
iotsg-100000-00004402,23/12/1976 12:34,140
iotsg-100000-00004234,24/12/1976 12:34,141
iotsg-100000-00004241,25/12/1976 12:34,142
iotsg-100000-00004359,26/12/1976 12:34,143
iotsg-100000-00004337,27/12/1976 12:34,144
iotsg-100000-00004258,28/12/1976 12:34,145
iotsg-100000-00004410,29/12/1976 12:34,146
iotsg-100000-00004399,30/12/1976 12:34,147
iotsg-100000-00004196,31/12/1976 12:34,148
iotsg-100000-00004397,01/01/1977 12:34,149
iotsg-100000-00004338,02/01/1977 12:34,150
iotsg-100000-00004358,03/01/1977 12:34,151
iotsg-100000-00004355,04/01/1977 12:34,152
iotsg-100000-00004325,05/01/1977 12:34,153
iotsg-100000-00001929,06/01/1977 12:34,154
iotsg-100000-00004350,07/01/1977 12:34,155
iotsg-100000-00004388,08/01/1977 12:34,156
iotsg-100000-00004324,09/01/1977 12:34,157
iotsg-100000-00004389,10/01/1977 12:34,158
iotsg-100000-00004335,11/01/1977 12:34,159
iotsg-100000-00002872,12/01/1977 12:34,160
iotsg-100000-00004227,13/01/1977 12:34,161
iotsg-100000-00004206,14/01/1977 12:34,162
iotsg-100000-00003920,15/01/1977 12:34,163
iotsg-100000-00003903,16/01/1977 12:34,164
iotsg-100000-00004342,17/01/1977 12:34,165
iotsg-100000-00004204,18/01/1977 12:34,166
iotsg-100000-00004323,19/01/1977 12:34,167
iotsg-100000-00004370,20/01/1977 12:34,168
iotsg-102000-00000071,21/01/1977 12:34,169
iotsg-102000-00000077,22/01/1977 12:34,170
iotsg-101000-00000097,23/01/1977 12:34,171
iotsg-102000-00000086,24/01/1977 12:34,172
iotsg-102000-00000014,25/01/1977 12:34,173
iotsg-101000-00000065,26/01/1977 12:34,174
iotsg-100000-00002860,27/01/1977 12:34,175
100000-00001931,28/01/1977 12:34,176
100000-00001919,29/01/1977 12:34,177
iotsg-100000-00004326,30/01/1977 12:34,178
700000-00000361,31/01/1977 12:34,179
700000-00000920,01/02/1977 12:34,180
700000-00000307,02/02/1977 12:34,181
700000-00000312,03/02/1977 12:34,182
700000-00000201,04/02/1977 12:34,183
700000-00000228,05/02/1977 12:34,184
700000-00000361,06/02/1977 12:34,185
700000-00000338,07/02/1977 12:34,186
700000-00000321,08/02/1977 12:34,187
700000-00000222,09/02/1977 12:34,188
700000-00000305,10/02/1977 12:34,189
700000-00000352,11/02/1977 12:34,190
700000-00000249,12/02/1977 12:34,191
700000-00000342,13/02/1977 12:34,192
700000-00000217,14/02/1977 12:34,193
700000-00000333,15/02/1977 12:34,194
700000-00000297,16/02/1977 12:34,195
700000-00000244,17/02/1977 12:34,196
700000-00000232,18/02/1977 12:34,197
700000-00000364,19/02/1977 12:34,198
700000-00000298,20/02/1977 12:34,199
700000-00000369,21/02/1977 12:34,200
700000-00000241,22/02/1977 12:34,201
700000-00000339,23/02/1977 12:34,202
700000-00000210,24/02/1977 12:34,203
700000-00000357,25/02/1977 12:34,204
700000-00000309,26/02/1977 12:34,205
700000-00000334,27/02/1977 12:34,206
700000-00000318,28/02/1977 12:34,207
700000-00000347,01/03/1977 12:34,208
700000-00000202,02/03/1977 12:34,209
700000-00000337,03/03/1977 12:34,210
700000-00000225,04/03/1977 12:34,211
700000-00000227,05/03/1977 12:34,212
700000-00000350,06/03/1977 12:34,213
700000-00000240,07/03/1977 12:34,214
700000-00000306,08/03/1977 12:34,215
700000-00000248,09/03/1977 12:34,216
700000-00000237,10/03/1977 12:34,217
700000-00000353,11/03/1977 12:34,218
700000-00000310,12/03/1977 12:34,219
700000-00000212,13/03/1977 12:34,220
700000-00000332,14/03/1977 12:34,221
700000-00000348,15/03/1977 12:34,222
700000-00000324,16/03/1977 12:34,223
700000-00000239,17/03/1977 12:34,224
700000-00000325,18/03/1977 12:34,225
700000-00000346,19/03/1977 12:34,226
700000-00000319,20/03/1977 12:34,227
700000-00000359,21/03/1977 12:34,228
700000-00000328,22/03/1977 12:34,229
700000-00000323,23/03/1977 12:34,230
700000-00000296,24/03/1977 12:34,231
700000-00000208,25/03/1977 12:34,232
700000-00000216,26/03/1977 12:34,233
700000-00000300,27/03/1977 12:34,234
700000-00000250,28/03/1977 12:34,235
700000-00000230,29/03/1977 12:34,236
700000-00000311,30/03/1977 12:34,237
700000-00000233,31/03/1977 12:34,238
700000-00000229,01/04/1977 12:34,239
700000-00000330,02/04/1977 12:34,240
700000-00000370,03/04/1977 12:34,241
700000-00000344,04/04/1977 12:34,242
700000-00000349,05/04/1977 12:34,243
700000-00000209,06/04/1977 12:34,244
700000-00000347,07/04/1977 12:34,245
700000-00000314,08/04/1977 12:34,246
700000-00000335,09/04/1977 12:34,247
700000-00000183,10/04/1977 12:34,248
700000-00000066,11/04/1977 12:34,249
700000-00001132,12/04/1977 12:34,250
700000-00001053,13/04/1977 12:34,251
700000-00000851,14/04/1977 12:34,252
700000-00000075,15/04/1977 12:34,253
700000-00001023,16/04/1977 12:34,254
700000-00001067,17/04/1977 12:34,255
700000-00000907,18/04/1977 12:34,256
700000-00000030,19/04/1977 12:34,257
700000-00000174,20/04/1977 12:34,258
700000-00000676,21/04/1977 12:34,259
700000-00001011,22/04/1977 12:34,260
700000-00000709,23/04/1977 12:34,261
700000-00000690,24/04/1977 12:34,262
700000-00000710,25/04/1977 12:34,263
700000-00000729,26/04/1977 12:34,264
700000-00001077,27/04/1977 12:34,265
700000-00000987,28/04/1977 12:34,266
700000-00000115,29/04/1977 12:34,267
700000-00000692,30/04/1977 12:34,268
700000-00000734,01/05/1977 12:34,269
700000-00000715,02/05/1977 12:34,270
700000-00000771,03/05/1977 12:34,271
iotsg-600000-00000940,04/05/1977 12:34,272
iotsg-600000-00001272,05/05/1977 12:34,273
iotsg-600000-00001253,06/05/1977 12:34,274
iotsg-600000-00001254,07/05/1977 12:34,275
iotsg-600000-00001263,08/05/1977 12:34,276
iotsg-600000-00000753,09/05/1977 12:34,277
iotsg-600000-00000461,10/05/1977 12:34,278
iotsg-600000-00001249,11/05/1977 12:34,279
iotsg-600000-00001273,12/05/1977 12:34,280
iotsg-410000-00000732,13/05/1977 12:34,281
iotsg-410000-00000721,14/05/1977 12:34,282
iotsg-410000-00000558,15/05/1977 12:34,283
iotsg-410000-00000346,16/05/1977 12:34,284
iotsg-400000-00000085,17/05/1977 12:34,285
iotsg-410000-00000149,18/05/1977 12:34,286
iotsg-410000-00000341,19/05/1977 12:34,287
iotsg-410000-00000632,20/05/1977 12:34,288
iotsg-410000-00000418,21/05/1977 12:34,289
iotsg-410000-00000522,22/05/1977 12:34,290
iotsg-410000-00000534,23/05/1977 12:34,291
iotsg-410000-00000585,24/05/1977 12:34,292
iotsg-410000-00000431,25/05/1977 12:34,293
iotsg-410000-00000533,26/05/1977 12:34,294
iotsg-410000-00000670,27/05/1977 12:34,295
iotsg-410000-00000565,28/05/1977 12:34,296
iotsg-410000-00000708,29/05/1977 12:34,297
iotsg-410000-00000725,30/05/1977 12:34,298
iotsg-410000-00000557,31/05/1977 12:34,299
iotsg-410000-00000563,01/06/1977 12:34,300
iotsg-410000-00000711,02/06/1977 12:34,301
iotsg-410000-00000356,03/06/1977 12:34,302
iotsg-410000-00000360,04/06/1977 12:34,303
iotsg-410000-00000178,05/06/1977 12:34,304
iotsg-410000-00000392,06/06/1977 12:34,305
iotsg-410000-00000323,07/06/1977 12:34,306
iotsg-410000-00000394,08/06/1977 12:34,307
iotsg-410000-00000598,09/06/1977 12:34,308
iotsg-410000-00000339,10/06/1977 12:34,309
iotsg-410000-00000105,11/06/1977 12:34,310
iotsg-410000-00000575,12/06/1977 12:34,311
iotsg-410000-00000513,13/06/1977 12:34,312
iotsg-410000-00000724,14/06/1977 12:34,313
iotsg-410000-00000675,15/06/1977 12:34,314
iotsg-410000-00000684,16/06/1977 12:34,315
iotsg-410000-00000284,17/06/1977 12:34,316
iotsg-410000-00000624,18/06/1977 12:34,317
iotsg-410000-00000379,19/06/1977 12:34,318
iotsg-410000-00000199,20/06/1977 12:34,319
iotsg-410000-00000195,21/06/1977 12:34,320
iotsg-410000-00000676,22/06/1977 12:34,321
iotsg-410000-00000566,23/06/1977 12:34,322
iotsg-410000-00000662,24/06/1977 12:34,323
iotsg-410000-00000512,25/06/1977 12:34,324
iotsg-410000-00000163,26/06/1977 12:34,325
iotsg-410000-00000652,27/06/1977 12:34,326
iotsg-410000-00000537,28/06/1977 12:34,327
iotsg-410000-00000510,29/06/1977 12:34,328
iotsg-410000-00000712,30/06/1977 12:34,329
iotsg-410000-00000521,01/07/1977 12:34,330
iotsg-410000-00000656,02/07/1977 12:34,331
iotsg-410000-00000660,03/07/1977 12:34,332
iotsg-410000-00000572,04/07/1977 12:34,333
iotsg-410000-00000664,05/07/1977 12:34,334
iotsg-410000-00000673,06/07/1977 12:34,335
iotsg-410000-00000189,07/07/1977 12:34,336
iotsg-410000-00000266,08/07/1977 12:34,337
iotsg-410000-00000350,09/07/1977 12:34,338
iotsg-410000-00000717,10/07/1977 12:34,339
iotsg-410000-00000332,11/07/1977 12:34,340
iotsg-410000-00000344,12/07/1977 12:34,341
iotsg-410000-00000143,13/07/1977 12:34,342
iotsg-410000-00000682,14/07/1977 12:34,343
iotsg-410000-00000359,15/07/1977 12:34,344
iotsg-410000-00000395,16/07/1977 12:34,345
iotsg-410000-00000650,17/07/1977 12:34,346
iotsg-410000-00000639,18/07/1977 12:34,347
iotsg-410000-00000644,19/07/1977 12:34,348
iotsg-410000-00000628,20/07/1977 12:34,349
iotsg-410000-00000622,21/07/1977 12:34,350
iotsg-410000-00000625,22/07/1977 12:34,351
iotsg-410000-00000588,23/07/1977 12:34,352
iotsg-410000-00000372,24/07/1977 12:34,353
iotsg-410000-00000648,25/07/1977 12:34,354
iotsg-410000-00000714,26/07/1977 12:34,355
iotsg-410000-00000715,27/07/1977 12:34,356
iotsg-410000-00000617,28/07/1977 12:34,357
iotsg-410000-00000573,29/07/1977 12:34,358
iotsg-410000-00000165,30/07/1977 12:34,359
iotsg-410000-00000358,31/07/1977 12:34,360
iotsg-410000-00000602,01/08/1977 12:34,361
iotsg-410000-00000705,02/08/1977 12:34,362
iotsg-410000-00000700,03/08/1977 12:34,363
iotsg-410000-00000560,04/08/1977 12:34,364
iotsg-410000-00000342,05/08/1977 12:34,365
iotsg-410000-00000520,06/08/1977 12:34,366
iotsg-410000-00000666,07/08/1977 12:34,367
iotsg-410000-00000436,08/08/1977 12:34,368
iotsg-410000-00000335,09/08/1977 12:34,369
iotsg-410000-00000736,10/08/1977 12:34,370
iotsg-410000-00000124,11/08/1977 12:34,371
iotsg-410000-00000620,12/08/1977 12:34,372
iotsg-410000-00000574,13/08/1977 12:34,373
iotsg-410000-00000702,14/08/1977 12:34,374
iotsg-410000-00000659,15/08/1977 12:34,375
iotsg-410000-00000658,16/08/1977 12:34,376
iotsg-410000-00000718,17/08/1977 12:34,377
iotsg-410000-00000121,18/08/1977 12:34,378
iotsg-400000-00000089,19/08/1977 12:34,379
iotsg-410000-00000212,20/08/1977 12:34,380
iotsg-410000-00000327,21/08/1977 12:34,381
iotsg-410000-00000615,22/08/1977 12:34,382
iotsg-410000-00000645,23/08/1977 12:34,383
iotsg-400000-00000021,24/08/1977 12:34,384
iotsg-410000-00000733,25/08/1977 12:34,385
iotsg-410000-00000720,26/08/1977 12:34,386
iotsg-420000-00000754,27/08/1977 12:34,387
iotsg-410000-00000623,28/08/1977 12:34,388
iotsg-410000-00000713,29/08/1977 12:34,389
iotsg-410000-00000642,30/08/1977 12:34,390
iotsg-410000-00000571,31/08/1977 12:34,391
iotsg-410000-00000704,01/09/1977 12:34,392
iotsg-410000-00000583,02/09/1977 12:34,393
iotsg-410000-00000523,03/09/1977 12:34,394
iotsg-410000-00000688,04/09/1977 12:34,395
iotsg-410000-00000738,05/09/1977 12:34,396
iotsg-410000-00000630,06/09/1977 12:34,397
iotsg-410000-00000515,07/09/1977 12:34,398
iotsg-410000-00000532,08/09/1977 12:34,399
iotsg-410000-00000631,09/09/1977 12:34,400
iotsg-410000-00000595,10/09/1977 12:34,401
iotsg-410000-00000593,11/09/1977 12:34,402
iotsg-410000-00000540,12/09/1977 12:34,403
iotsg-410000-00000609,13/09/1977 12:34,404
iotsg-410000-00000729,14/09/1977 12:34,405
iotsg-410000-00000694,15/09/1977 12:34,406
